identifier,title,date,creator,description,call_number,rights,holder,files
cmv_001012,Linda's Drive-in,1985-01-01,Unknown,"Linda's Drive Inn was owned by Rebecca and Dean Riggs who named the eatery for their daughter. The Riggs bought the property at El Calmino Real and Escuela Avenue in 1956. It was the home of the locally famous ""Parisian Burger."" The business closed in 1985. Mountain View, California.",PHL B25,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001013,Al's Club,1963-01-01,Unknown,"From 1951-1962, Al's Club was located at 129 Castro Street (at the corner of Evelyn Avenue). In 1963, the business moved to a new building at 155 Castro Street. The business was renamed ""R"" Club in 1964 by owner William Rippey. By 2000, it was still a business establishment on Castro Street. Mountain View, California.",phl b18 3,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001014,"Sytek, Inc. - interior shot of workers at circuit boards",1985-02-14,"Von Der Broeben, Norbert","Sytek Incorporated was located at 1225 Charleston Road. It produced local networking products for large, multiple-protocol networks. Until 1989, General Instrument Corporation was Sytek's longtime partner. That year, Sytek was acquired by Hughes Aircraft Company. Mountain View, California.",phl b18 4,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001015,Castro City Grocery and Gas Station on Rengstorff Avenue,,Unknown,"The Castro City Grocery and Gas Station was located on Rengstorff Avenue near the railroad tracks. In 1947 the Nakamura family bought the business and owned it until 1992. Mountain View, California.",phl b19 1,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001016,"Frankie, Johnnie, and Luigi Too",1979-01-01,Unknown,"Frankie, Johnnie & Luigi Too! was opened in 1957 by brothers Frank, John and cousin, Luigi, D'Ambrosio. The popular eatery at 939 West El Calmino Real was sold to Richard and Tina Straver in 1969. It was bought back by the children of the original owners in 1972. The restaurant has had several remodels since this 1979 picture was taken. Mountain View, California.",phl b19 2,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001017,Henry's Market (once Steve's Grocery) on El Camino at Bay St.,1955-01-01,Unknown,"Henry's Market was located at 77 West El Calmino Real at Bay Street. From the early 1920s to the mid-1950s, this market was called Steve's Grocery. It was owned by Steve Matijasevich. Built in 1876, the building was known as the Enterprise Hall. The Odd Fellows met on the second floor for many years. The basketball team from the first Mountain View High School on El Calmino Real was known to have played basketball in the lower portion of the building in the 1910s. Mountain View, California.",phl b19 3,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001018,"Manfredi's store on El Camino Real in ""Old Mountain View""",1880-01-01,Unknown,"Victor Manfredi came to the United States from Italy in 1880. He opened this grocery store in ""Old Mountain View"" (near present-day El Calmino Real at Grant Road) shortly after his arrival. Mountain View, California.",phl b19 4,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_001019,Emporium,1960-01-01,Melgar Commercial Photographers,"Emporium, San Antonio Shopping Center. Mountain View, California.",,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001020,"Base Hotel, 857 Villa Street",1954-01-01,Unknown,"Built in 1895, this hotel was known by many names: Bordi Hotel, St. Anne Hotel, Air Base Hotel and finally, Base Hotel. It was located at 857 Villa Street and demolished circa 1954. Note a portion of the Purity Market to the right of the hotel. Mountain View, California.",phl b20 1,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001021,"Holiday Inn, 1984 West El Camino Real",1957-07-01,Don's Camera Shop,"The Holiday Inn was built at 1984 West El Calmino Real in the mid-1950s. It remained at this site for the next 20 years. It was replaced by the E-Z 8 Motel around 1978. Mountain View, California.",phl b20 2,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001022,"Bays and Wyant Chapel Funeral Directors, 340 Castro St.",1959-01-01,"Guerrero, Frank","This house at 340 Castro Street originally belonged to Dr. Arthur McFarlane. In 1925, it was purchased by undertaker, William J. Anway and became the W.J. Anway Funeral Home until 1941. The business was taken over by Bay Hays and Howard Wyant and renamed Hays and Wyant Chapel Funeral Directors. By the late 1950s, Bay Hays had relocated his business to Cuesta Drive. Mountain View, California.",phl b21 1,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001023,Sherri and Matt Cusimano in front of their Colonial Mortuary,,"Castillo, Steve","In 1957, Joseph Cusimano bought Bay Hays's funeral home at 340 Castro Street. In 1960, Cusimano purchased land at 96 West El Calmino Real (the site of the former Taylor home) and opened Cusimano Family Colonial Mortuary. Joseph's children, Matthew and Sherri (pictured), continue to manage the business. Mountain View, California.",phl b21 2,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001024,"Spangler Mortuary, 799 Castro Street",1993-12-01,Unknown,"located at 799 Castro Street, Spangler Mortuary was founded in 1934 by Martin Joseph Spangler. In 1958, Martin Spangler, Jr, joined the business. His wife, Sue, serves as treasurer. By 1979, the third generation of Spanglers, M. James (known as Jim) Spangler became involved in the family business. Mountain View, California.",phl b21 3,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001025,"M. James (Jim) Spangler and father, Martin J. Spangler, Jr.",1991-12-04,"Fink, Ted | Peninsula Times Tribune","Located at 799 Castro Street, Spangler Mortuary was founded in 1934 by Martin Joseph Spangler. In 1958, Martin Spangler, Jr, joined the business. His wife, Sue, serves as treasurer. By 1979, the third generation of Spanglers, M. James (known as Jim) Spangler became involved in the family business. Mountain View, California.",phl b21 4,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001026,Mountain View Theatre,1950-01-01,Unknown,"The Mountain View Theatre was opened in 1926 and was built by the Minton Lumber Company for Fritz Campen. Located in the 200 block of Castro Street, the theater underwent remodeling in 1962. Due to competition from large theater chains, the Mountain View Theatre closed in 1986. More recently, the building has been used for live concerts and as a nightclub/restaurant. Mountain View, California.",phl b22 1,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001027,AMC Old Mill Six Theatres,1985-01-29,"Fitzmaurice, Deanne","Mountain View, California.",phl b22 2,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001028,"Mountain View Theatre, after remodeling",1962-01-01,Melgar Commercial Photographers,"The Mountain View Theatre was opened in 1926 and was built by the Minton Lumber Company for Fritz Campen. located in the 200 block of Castro Street, the theater underwent remodeling in 1962. Due to competition from large theater chains, the Mountain View Theatre closed in 1986. More recently, the building has been used for live concerts and as a nightclub/restaurant. Mountain View, California.",phl b22 3,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001029,"Mountain View Theatre, gala night",1961-01-01,Unknown,"The Mountain View Theatre was opened in 1926 and was built by the Minton Lumber Company for Fritz Campen. located in the 200 block of Castro Street, the theater underwent remodeling in 1962. Due to competition from large theater chains, the Mountain View Theatre closed in 1986. More recently, the building has been used for live concerts and as a nightclub/restaurant. Mountain View, California.",phl b22 4,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001030,"Mountain View Theatre, 228 Castro Street",1994-04-01,Unknown,"The Mountain View Theatre was opened in 1926 and was built by the Minton Lumber Company for Fritz Campen. Located in the 200 block of Castro Street, the theater underwent remodeling in 1962. Due to competition from large theater chains, the Mountain View Theatre closed in 1986. More recently, the building has been used for live concerts and as a nightclub/restaurant. Mountain View, California.",phl b22 5,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001031,Cinema Theatre (Teatro Cinema) on Dana at Bryant Street,1950-01-01,Raymond's Studio,"Teatro Cinema (also known as Cinema Theatre) opened in the mid-1930s. It was owned by Antonio Blanco and located on Dana at Bryant Streets. The movie house was unique in that it offered pictures in the Spanish language. The theater closed in 1955.;Mountain View, CA",phl b22 6,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001032,Unnamed youth winning prize for naming the Monte Vista Drive-In,1950-01-01,Raymond's Studio,"The Monte Vista Drive-In opened in 1950. It was located at El Calmino Real and Grant Road. When it opened, it was advertised as the largest on the Peninsula with 825 car spaces, 500 heaters and two box offices. Cost of admission was 65 cents for adults, 40 cents for juniors and under 12 free. The Drive-In closed in the mid-1970s. Image no. 6 shows the unnamed winner of a contest to name the drive-in. He is receiving two free one-year passes from manager, Bruno Vecchiarelli. Mountain View, California.",phl b22 7,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001033,"Cars entering the Monte Vista Drive-In, El Camino Real at Grant Road",1950-01-01,Raymond's Studio,"The Monte Vista Drive-In opened in 1950. It was located at El Calmino Real and Grant Road. When it opened, it was advertised as the largest on the Peninsula with 825 car spaces, 500 heaters and two box offices. Cost of admission was 65 cents for adults, 40 cents for juniors and under 12 free. The Drive-In closed in the mid-1970s.",phl b22 8,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001034,The parking lot and children playing inside the Monte Vista Drive-In,1950-01-01,Raymond's Studio,"The Monte Vista Drive-In opened in 1950. It was located at El Calmino Real and Grant Road. When it opened, it was advertised as the largest on the Peninsula with 825 car spaces, 500 heaters and two box offices. Cost of admission was 65 cents for adults, 40 cents for juniors and under 12 free. The Drive-In closed in the mid-1970s. Mountain View, California.",phl b22 9,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001035,The Monte Vista Drive-In movie screen,,Raymond's Studio,,phl b22 10,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001036,Mountain View Post Office at 211 Hope Street,1994-01-01,Unknown,"The Mountain View Post Office at 211 Hope Street was built in 1960. In 2000, the building was demolished to make room for a new, larger building consisting of 17,078 square feet. Mountain View, California.",phl b23 1,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001037,"Colored postcard showing the Pacific Press Auditorium, built in 1948",,Unknown,"Pacific Press was a Seventh-Day Adventist publishing business. It was established in Mountain View in 1904, was damaged by the 1906 earthquake and then completely destroyed by fire two months later. Rebuilt, Pacific Press Publishing remained in Mountain View until 1983, when it moved to Boise, Idaho. Image shows the Pacific Press auditorium which was built in 1948 to sponsor conventions and employee programs.",phl b24 1,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001038,Aerial of Pacific Press,,Unknown,"Pacific Press was a Seventh-Day Adventist publishing business. It was established in Mountain View in 1904, was damaged by the 1906 earthquake and then completely destroyed by fire two months later. Rebuilt, Pacific Press Publishing remained in Mountain View until 1983, when it moved to Boise, Idaho. Image no. 3 shows Pacific Press from the air, circa 1950s. Mountain View, California.",phl b24 2,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001039,Lancashire Lad English Fish 'n Chips,1950-01-01,Unknown,"Lancashire Lad English Fish n Chips. Mountain View, California.",phl b24 3,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001040,Stig's Danish Bakery,1986-01-01,Unknown,"Jay Pepe, owner of Stig's Danish Bakery. Mountain View, California.",phl b25 1,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001041,El Zarape Mexican Food,1987-02-01,"Forencich, Sam","El Zarape Mexican Food. Mountain View, California.",phl b25 2,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001042,Andy's Chinese Restaurant,1963-09-14,Unknown,"Andy's Chinese Restaurant ribbon cutting. Mountain View, California.",phl b25 3,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001043,"The Castro Street Bar and Grill, 174 Castro Street",1992-01-01,Peninsula Times Tribune,"The Castro Street Bar and Grill opened in the early 1990s. located at 174 Castro Street, the restaurant shares the same bar and some of the same kitchen facilities as neighboring Tien Fu. The Castro Street Bar and Grill occupies the former site of Andy's Chinese Restaurant--a longtime Mountain View establishment. 5 - Image no. 5: Chez Yvonne was opened in 1949 by Yvonne Frelier and her son, Roger Frelier. The site at 1854 West El Calmino Real was originally opened as Charlotte's, a restaurant, in the late 1930s by Morris and Charlotte Nathan. It was purchased by Sam Nussbaum and renamed the Blue Ox in the mid-1940s. The restaurant was demolished to make way for the Mountain View Residence Inn in the mid-1980s. Mountain View, California.",phl b25 4,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001044,Qui Hing Low,1980-01-01,Unknown,"Qui Hing Low. Mountain View, California.",phl b25 5,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001045,"Double Rainbow Ice Cream, 1994",1994-01-01,"Fink, Ted","Double Rainbow is located at 135 Castro Street. Roger and Denise Siu opened the ice cream store in 1988. Mountain View, California.",phl b25 6,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001046,"Frankie, Johnnie & Luigi, Too!, 939 West El Camino Real",1979-01-01,"Melena, Joe","Frankie, Johnnie & Luigi Too! was opened in 1957 by brothers Frank, John and cousin, Luigi, D'Ambrosio. The popular eatery at 939 West El Calmino Real was sold to Richard and Tina Straver in 1969. It was bought back by the children of the original owners in 1972. The restaurant has had several remodels since this 1979 picture was taken. Mountain View, California.",phl b25 7,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001047,Sakura Gardens Restaurant,1956-01-01,Unknown,"Sakura Gardens Restaurant. Mountain View, California.",phl b25 8,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001048,Double Rainbow Ice Cream,1988-01-01,Unknown,"Double Rainbow is located at 135 Castro Street. Roger and Denise Siu opened the ice cream store in 1988. Mountain View, California.",phl b25 9,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001049,Chez Yvonne,1957-07-01,Don's Camera Shop,"Chez Yvonne was opened in 1949 by Yvonne Frelier and her son, Roger Frelier. The site at 1854 West El Calmino Real was originally opened as Charlotte's, a restaurant, in the late 1930s by Morris and Charlotte Nathan. It was purchased by Sam Nussbaum and renamed the Blue Ox in the mid-1940s. The restaurant was demolished to make way for the Mountain View Residence Inn in the mid-1980s. Mountain View, California.",phl b25 10,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001050,Happy Landing Cafe,1950-01-01,Unknown,"The Happy Landing cafe was located at Bayshore Highway and Moffett Blvd. The eatery remained in business from the 1940s until the late 1950s. Mountain View, California.",phl b25 11,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001051,"Tied House Cafe and Brewery, 954 Villa Street",1989-01-01,Unknown,"The Tied House California.fe and Brewery at 954 Villa Street opened in 1988. The site of a former laundry business, the brewery was one of only four other micro-breweries in the Bay Area at the time. Mountain View, California.",phl b25 12,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001052,Rhodes,1967-12-01,Unknown,"Rhodes. Mountain View, California.",,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001053,Steve O'Neill,1984-09-01,Unknown,"KPEN afternoon air personality. Mountain View, California.",,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001054,Jasco Chemical Corp,1956-01-01,Don's Camera Shop,"1090 Terra Bella Ave. Mountain View, California.",,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001055,Shopping Center,1957-01-01,Don's Camera Shop,"On El Monte at Edna Nary. Mountain View, California.",,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001056,Sears located at San Antonio Road and El Camino Real,1961-01-01,Melgar Commercial Photographers,"The Sears store at San Antonio Road and El Calmino Real opened in 1957. Except for the neighboring Co-Op market, the store was surrounded by farmland, and orange orchards covered the land across the street. Mountain View, California.",phl b26 5,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001057,Aerial of Blossom Valley Plaza,1957-03-01,Photographic Horizons,"Blossom Valley Shopping Center was opened in 1957. located at Miramonte Avenue and Cuesta Drive, the Center was the shopping hub for the new housing being built in the area. Blossom Valley was remodeled and expanded in 1991. Mountain View, California.",phl b27 1,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001058,Sign of San Antonio Center at El Camino Real and San Antonio Road,1985-01-01,"Yimm, Ken",Photo of sign in parking lot of Sears store at San Antonio shopping center.,phl b27 2,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001059,Mayfield Mall interior,1986-01-01,Unknown,"Opened in 1966, Mayfield Mall was located at the intersection of San Antonio Road and Alma Street (later known as Central Expressway). The shopping center was named for the former town of Mayfield which had been absorbed by Palo Alto in the early 1900s. At first successful, the Mall eventually suffered economically due to competition from the nearby Old Mill Shopping Center and San Antonio Shopping Center. Mayfield Mall closed in 1984 and Hewlett Packard Company converted it into an office center. Mountain View, California.",phl b27 3,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001060,Interior shot of Mayfield Mall,1970-01-01,"Melena, Joe","Opened in 1966, Mayfield Mall was located at the intersection of San Antonio Road and Alma Street (later known as Central Expressway). The shopping center was named for the former town of Mayfield which had been absorbed by Palo Alto in the early 1900s. At first successful, the Mall eventually suffered economically due to competition from the nearby Old Mill Shopping Center and San Antonio Shopping Center. Mayfield Mall closed in 1984 and Hewlett Packard Company converted it into an office center. Mountain View, California.",phl b27 4,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001061,Mayfield Mall being raised,1966-07-01,"Yimm, Ken","Opened in 1966, Mayfield Mall was located at the intersection of San Antonio Road and Alma Street (later known as Central Expressway). The shopping center was named for the former town of Mayfield which had been absorbed by Palo Alto in the early 1900s. At first successful, the Mall eventually suffered economically due to competition from the nearby Old Mill Shopping Center and San Antonio Shopping Center. Mayfield Mall closed in 1984 and Hewlett Packard Company converted it into an office center. Mountain View, California.",phl b27 5,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001062,Interior of Old Mill Specialty Center,1978-01-01,Unknown,"The Old Mill Shopping Center (also called the Old Mill Speciality Center) opened in 1976. Considered a ""Ghiradelli-type"" shopping area, the new indoor development boasted boutique shops, movies, trendy restaurants and a waterfall and creek all centering around its namesake working mill. By 1987, the Old Mill was experiencing hard times. It closed, gutted the inside and reopened as the Old Mill Public Market. Here tenants sold everything from kitchenware to dried fruits to wine to imported and ethnic foods. The new concept was not successful and the market closed in 1989. The Crossings, a mixed residential community of apartments, townhouses and single family homes, now occupies the former site of the Old Mill. Mountain View, California.",phl b27 6,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001063,Old Mill,1978-01-01,Unknown,"The Old Mill Shopping Center (also called the Old Mill Speciality Center) opened in 1976. Considered a ""Ghiradelli-type"" shopping area, the new indoor development boasted boutique shops, movies, trendy restaurants and a waterfall and creek all centering around its namesake working mill. By 1987, the Old Mill was experiencing hard times. It closed, gutted the inside and reopened as the Old Mill Public Market. Here tenants sold everything from kitchenware to dried fruits to wine to imported and ethnic foods. The new concept was not successful and the market closed in 1989. The Crossings, a mixed residential community of apartments, townhouses and single family homes, now occupies the former site of the Old Mill. Mountain View, California.",phl b27 7,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001064,"Mayfield Mall being razed, interior",1984-12-01,Unknown,"Opened in 1966, Mayfield Mall was located at the intersection of San Antonio Road and Alma Street (later known as Central Expressway). The shopping center was named for the former town of Mayfield which had been absorbed by Palo Alto in the early 1900s. At first successful, the Mall eventually suffered economically due to competition from the nearby Old Mill Shopping Center and San Antonio Shopping Center. Mayfield Mall closed in 1984 and Hewlett Packard Company converted it into an office center. Mountain View, California.",phl b27 8,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001065,San Antonio Shopping Center,1980-01-01,"McGovern, Reg","San Antonio Shopping Center (also known as San Antonio Center) began in 1957 with the construction of a Sears store. The Center evolved slowly as new stores reconfigured the size and layout of the mall. Through the years, San Antonio was anchored by such large department stores as Rhodes, Liberty House, J.C. Penney and finally Mervyn's. By the 1970s, the Center had completed extensive remodeling and was a true pedestrian mall. Twenty years later, vacancies were high and the San Antonio Center again revamped and expanded. Wal-Mart opened in 1995 giving the shopping center a major commercial attraction. Mountain View, California.",phl b27 9,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001066,San Antonio Shopping Center showing the length of the pedestrian mall,1983-08-01,"Hirt, Dave","San Antonio Shopping Center (also known as San Antonio Center) began in 1957 with the construction of a Sears store. The Center evolved slowly as new stores reconfigured the size and layout of the mall. Through the years, San Antonio was anchored by such large department stores as Rhodes, Liberty House, J.C. Penney and finally Mervyn's. By the 1970s, the Center had completed extensive remodeling and was a true pedestrian mall. Twenty years later, vacancies were high and the San Antonio Center again revamped and expanded. Wal-Mart opened in 1995 giving the shopping center a major commercial attraction. Mountain View, California.",phl b27 10,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001067,Pacific Gas and Electric Company at 743 Dana Street,1955-06-01,Unknown,"The original office of Pacific Gas and Electric Company (PG&E) was established on Castro Street in 1930. In 1954, the office moved to the building pictured in Image no. 1, at 743 Dana Street. In 1964, PG&E moved to its new location at 490 Bryant Street. Mountain View, California.",phl b28 1,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001068,Pacific Gas and Electric Company at 490 Bryant Street,1965-01-01,Unknown,"The original office of Pacific Gas and Electric Company (PG&E) was established on Castro Street in 1930. In 1954, the office moved to the building pictured in Image no. 1, at 743 Dana Street. In 1964, PG&E moved to its new location at 490 Bryant Street. Mountain View, California.",phl b28 2,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001069,Pacific Telephone Company,1971-01-01,Melgar Commercial Photographers.,"This is Pacific Telephone's traffic operations building on Latham Street, near Showers Drive soon after it was built in 1971. Mountain View, California.",phl b28 3,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001070,Camino Bowl at 2025 West El Camino Real,1957-06-01,Don's Camera Shop,"Calmino Bowl was built by John Gemello in 1956 on part of his orchard land. It was located at 2025 West El Calmino Real in front of the Gemello Winery. The bowling alley originally had only 24 lanes but more lanes were added by 1959. Calmino Bowl closed in 1997 and the land was developed into houses, shops and offices. Mountain View, California.",phl b29 1,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001071,Spectra-Physics on Terra Bella Avenue,1980-01-01,Melgar Commercial Photographers.,"Spectra-Physics is located on Terra Bella Avenue in Mountain View. The company was founded in 1961 and is one of the world's largest laser manufacturers and designers. Mountain View, California.",phl b29 2,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001072,Interview with Carmen Ruiz,1978-01-10,Unknown,,Unknown,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001073,Ribbon-cutting for El Camino YMCA,1989-02-13,"Slagel, Dave","In February 1989, the ribbon-cutting ceremony for the new El Calmino YMCA. took place. The project was a joint venture between El Calmino Hospital and the YMCA. The hospital donated the land for the building. Recreation facilities in the 50,000 square foot building include a therapy pool, a pool for swimming laps, a Nautilus weight center, a large, multi-purpose room for exercises and community events as well as lockers and showers. Wielding the giant scissors are, from left to right: Mayor Maryce Freelen, Gail Collins, Kristine Erving, Neilson Buchanan, David Thornton and Ron Markillie. Mountain View, California.",phl b29 4,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001074,Fire Department Equipment,1948-01-01,Unknown,"Jim Levnatto at wheel, Stan Thompson at left, Manuel Luis, Glenn Stillons, Warren Grass on back. 1917 Model T Fire engine. Mountain View, California.",phl b30 1,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001075,Entrance on El Camino Real to the Gemello Winery,1989-11-19,Unknown,"John Gemello and son, Mario, built the Gemello Winery on their 55-acre ranch along El Calmino Real in 1934. The family also built three houses on the land. By the late 1940s, Mario took over the winery. John Gemello built Calmino Bowl in front of the winery in 1956. The family's operation eventually moved to Mendocino, but the Gemello Winery was used to store the wine and the tasting room remained open. In 1974, the Felice winery of Gilroy bought the winery, but Mario remained as master winemaker. Eventually, Sandy Gemello Obester, Mario's niece, operated the winery. In 1989, the winery was razed to make room for housing. In the meantime, Sandy and Paul Obester had founded the Obester Winery (with the help of Sandy's grandfather, John Gemello, now in his 90s) in Half Moon Bay. The couple continue to produce a special line of red wines with the Gemello label. Mountain View, California.",phl b30 2,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001076,"Fire Department Equipment, 1920",1920-01-01,Unknown,,,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_001077,Barrels of wine in storage at Gemello Winery,1982-10-01,"Andres, Bob","John Gemello and son, Mario, built the Gemello Winery on their 55-acre ranch along El Calmino Real in 1934. The family also built three houses on the land. By the late 1940s, Mario took over the winery. John Gemello built Calmino Bowl in front of the winery in 1956. The family's operation eventually moved to Mendocino, but the Gemello Winery was used to store the wine and the tasting room remained open. In 1974, the Felice winery of Gilroy bought the winery, but Mario remained as master winemaker. Eventually, Sandy Gemello Obester, Mario's niece, operated the winery. In 1989, the winery was razed to make room for housing. In the meantime, Sandy and Paul Obester had founded the Obester Winery (with the help of Sandy's grandfather, John Gemello, now in his 90s) in Half Moon Bay. The couple continue to produce a special line of red wines with the Gemello label. Mountain View, California.",phl b30 4,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001078,Barrels of wine being loaded from the Delmas vineyard,1900-01-01,Unknown,"Delphin Delmas (1844-1928) owned a 500-acre ranch near El Calmino Real and Bernardo Avenue along the present-day Mountain View/Sunnyvale border. Mr. Delmas was a famous attorney who was said to have practiced his speeches at night in his vineyard. Antoine Delmas, Delphin's father, came to California. from France in the 1850s. He brought grape cuttings with him and was one of the first to pioneer the development of wine in California. Mountain View, California.",phl b30 5,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_001079,Grand opening of the California Dept. of Motor Vehicles on Showers Dr.,1965-10-14,Melgar Commercial Photographers.,"Opened in 1965, the California. Department of Motor Vehicles is located at 595 Showers Drive. Joseph Cusimano, the Mountain View Chamber of Commerce president, is the speaker at the grand opening. Mountain View Mayor, Charles Gordon, is the first person seated on the left. Mountain View, California.",phl c01 1,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001080,Activity at the California Department of Motor Vehicles,1985-05-02,"Forencich, Sam","Opened in 1965, the California. Department of Motor Vehicles is located at 595 Showers Drive. Mountain View, California.",phl c01 2,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001081,Fire Station #1,1952-04-01,Unknown,"Fire Station #1. Mountain View, California.",,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001082,Fire Station,1967-12-01,Unknown,"Fire Station. Mountain View, California.",,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001083,Fire cart that belonged to Pacific Press,,Badger Fire Extinguisher Co.,"Fire cart that belonged to Pacific Press. Mountain View, California.",,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001084,Johnson's Pharmacy,1900-01-01,Unknown,"1st block Castro, Mr Johnson stands to the right, stairs to the left leads up to Mountain View Cycler's Club room building to right Parkinson and Lawler's Hardware Store. Mountain View, California.",,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_001085,Dr. D.D. Johnson's Drug Store,1900-01-01,Unknown,"First drug store on Castro Street, also where first telephone office opened. Mountain View, California.",,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_001086,Front Street,1959-01-01,Unknown,"Rosen's second hand store. Mountain View, California.",,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001087,City Hall,1920-01-01,White,"Mountain View City Hall was built in 1909 at the southeasterly corner of Castro and California. Streets. The building was in use until 1959. Other city departments also shared space in City Hall. The library was located on the second floor until 1952. The police department and jail were also headquartered here until 1952. Mountain View, California.",phl c10 1,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_001088,City Hall,1955-05-01,Unknown,"Mountain View City Hall was built in 1909 at the southeasterly corner of Castro and California. Streets. The building was in use until 1959. Other city departments also shared space in City Hall. The library was located on the second floor until 1952. The police department and jail were also headquartered here until 1952. Mountain View, California.",phl c10 4,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001089,City Hall from Castro Street,1960-01-01,Melgar Commercial Photographers,"The First Presbyterian Church of Mountain View originally occupied the building which became Mountain View City Hall in 1961. The church had been located at this Castro Street site since 1851. This particular church building, the third throughout those years, was built in 1951. In 1959, the First Presbyterian Church sold this building to the City of Mountain View and began construction of a new church at Miramonte Avenue and Cuesta Drive. Mountain View, California.",phl c11 1,Copyright status unknown.,City of Mountain View Public Library,1
cmv_001090,Governor Earl Warren addresses the crowd,1950-07-01,"Cardoza, M., Jr.","For three days in July 1950. Mountain View, California. celebrated 100 years of Mountain View and California. history. Among the Harvest Festival festivities, there were parades, barbeques, and an evening pageant of over 4,000 participants. Governor Earl Warren highlighted the celebration when he came to address the residents of Mountain View. Standing on the podium, from left to right (not all people have been identified), are: 1. Martin J. Spangler, 2. Paul Fretz, 3. Governor Earl Warren. On the right, standing near the flagpole, is Frank Morton. Mountain View, California.",phl f03 3,Copyright status unknown.,City of Mountain View Public Library,1
