identifier,title,date,creator,description,call_number,rights,holder,files
cmv_000741,"Mountain View Grammar School, 1899 Miss Keaton",1899-01-01,"White, C.C.","Miss Keaton's Class. Arthur Castro, George Gleason (in tree);Sally Mesa, Melissa Mackafee, T. Dossee, Mary Campbell, M. Merkle, M. Gates, Robles siblings, Fred Francis, Fred Whitmire, Mike Mesa, Victor Distel, Jim McDonald, Edna Lauer, M. Hare, Josephine Lauer, Eunice Choate, John Mockbee, W. Dale, Ewald. Mountain View, California.",PHA S14,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000742,"Mountain View Grammar School, 1899, kids",1899-01-01,Unknown,,PHA S14,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000743,"Mountain View Grammar School, 4th and 5th grades, 1899",1899-01-01,Unknown,"4th and 5th grades, Estella Barrows, teacher. Top row: Mabel Pritchett, Frances Lee, Leona Ruch, Margaret Campbell, Sarah Arata, Estalla Barrows (teacher). Second row: Charlie Scarini, Will Baxter, John Bubb, Robert Stacy, Edith Higgins, Josie Smirthwaite, Ezra Jacobs, Truman Hill, Crisanto Castro, Lucy Corpstein, Hattie True, Vera Spicer, Chester Mason, Angie Ruch, Annie O'Connor, Steve Bordi. Third row from top: Minnie Arato, Joe Cardoza, Emma Darrimon, James O'Connor, May Condon, Clara carter, Frances Mercer, Louise Marks, Alice Lee, Edmond Meyer, Ora Henderson, Mabel Henderson, Charlie Pearson, Frank Castro. bottom row: Anna Jagels, Mabel Beverly, Bessie Bates, Fred Sinz, Evelyn carter, Clara McCarty, Roy Dunsford, Lulu Watts, Mabel carpenter, Clara White, Lena Darrimon, and Grove Wyman. Jessie Lovejoy standing at side. Mountain View, California.",PHA S15 1,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000744,"Mountain View Grammar School, 3rd grade, 1899",1899-01-01,Unknown,"3rd grade, Lloyd Mason identified. Mountain View, California.",PHA S15,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000745,"Mountain View Grammar School, 1904",1904-01-01,Unknown,"Mountain View School, sixth grade. Mountain View, California.",PHA S18 1,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000746,"Mountain View Grammar School, Miss Halsey, 1900",1900-01-01,Unknown,"Miss Clara Halsey (Mrs. George Taylor) and class. Mountain View, California.",PHA 16,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000747,"Mountain View Grammar School, 6th and 7th grades, 1904",1904-01-01,Unknown,"6th and 7th grades 1st row: The Ruch twins, Angie, and Leona, Blanche Dow, Clara McCarty, Ora Henderson, Mabel Henderson, Daphne Bradly, Hazel Hurtbert, Anna Jagels, Effie Payne, Mabel Beverly, Henrietta Bar, Lizzie Pritchett, Edith Higgins, Blanche Paissou, Gussie Vail. Second row: Leo Miller, teacher, Gene Giraud, Maggie Campbell, Maude Nye, Frank George, Ada Swall, Bessie Bates, Lena Barnes. Jessie Lovejoy. 3rd row: Charlie Atkins, Will Garliepp, Richard Cutter, Arthur Dunsford, and Joe Mesa. 4 pupils in top row: carroll Simon, Roy Hockabout, Mabel Pritchett, and Lester Barnes. Mountain View, California.",PHA 16 1,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000748,"Mountain View Grammar School, 1900 Miss Cutter",1900-01-01,Unknown,"Miss Cutter's class. Mountain View, California.",PHA S16,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000749,"Mountain View Grammar School, Miss Woodis, 1900",1900-01-01,Unknown,"Miss Edna Woodis, teacher. Mountain View, California.",PHA S16,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000750,"Mountain View Grammar School, 8th grade, 1902 Miss Whiting",1902-01-01,Unknown,"8th grade. Top: James Buck, John Bubb, Charles Pearson, Frank Huff, Principal. middle row: John McCarty, Charles Scarini. Lower row: Hattie True, Bessie Burns, Louise Mark, Hazel (unknown), Eleanor carter, Nellie White, Frances (unknown). Mountain View, California.",PHA S17 1,Public domain. No restrictions on use.,City of Mountain View Public Library,1
